task_id,task catefory,mode,user_prompt,input_data_ref,data_key,context_block,expected_capability,acceptance_metrics,evidence required,gold_ref,seed,time_limit_s,notes,expeted_tool_chain
DATA-001,Data Management,Full-Stack,Fetch and validate BIDS structure for Haxby dataset,Haxby dataset,openneuro ds000105 or nilearn.datasets.fetch_haxby,Download the dataset and check that all files are organized according to BIDS standards with proper naming,bids_tools; data_management_tool,bids_valid; all_subjects_present,dataset_description.json; participants.tsv,,,,,
DATA-002,Data Management,Full-Stack,Load and cache ADHD-200 dataset with phenotypic data,ADHD-200 dataset,nilearn.datasets.fetch_adhd,"Download the dataset and save phenotype information like age, sex, diagnosis for fast future access",data_management_tool; cache_tool,data_cached; phenotypes_loaded,cached_data.pkl; phenotypes.csv,,,,,
DATA-003,Data Management,Full-Stack,Convert Miyawaki raw data to NIfTI format with metadata,Miyawaki dataset,openneuro ds006661 or nilearn.datasets.fetch_miyawaki2008,Transform the data into standard neuroimaging format and attach information about acquisition parameters,data_conversion_tool; nifti_tool,nifti_created; metadata_valid,converted_bold.nii.gz; sidecar.json,,,,,
DATA-004,Data Management,Full-Stack,Create data catalog with versioning for Brainomics Localizer,Brainomics Localizer dataset,nilearn.datasets.fetch_localizer_contrasts,Build a searchable index of all dataset files with version tracking so we can manage updates,data_catalog_tool; version_control,catalog_created; versions_tracked,data_catalog.db; version_log.txt,,,,,
DATA-005,Data Management,Full-Stack,Validate checksums and file integrity for OASIS VBM dataset,OASIS VBM dataset,nilearn.datasets.fetch_oasis_vbm,Verify that downloaded files aren't corrupted by checking digital fingerprints match expected values,integrity_check_tool; data_validation,checksums_valid; no_corruption,checksum_report.csv; validation_log.txt,,,,,
DATA-006,Data Management,Full-Stack,Extract and organize anatomical images from ABIDE dataset,ABIDE dataset,nilearn.datasets.fetch_abide_pcp,Pull out just the structural T1 scans from the full dataset and arrange them systematically,data_extraction_tool; file_organizer,anatomicals_extracted; organized_structure,T1w_directory/; manifest.csv,,,,,
DATA-007,Data Management,Full-Stack,Create dataset splits (train/val/test) for NKI Enhanced cohort,NKI Enhanced dataset,nilearn.datasets.fetch_surf_nki_enhanced and nilearn.datasets.load_nki,"Divide subjects into training, validation and test groups while balancing age and sex distribution",data_splitting_tool; stratification,splits_created; demographics_balanced,train_subjects.txt; val_subjects.txt; test_subjects.txt,,,,,
DATA-008,Data Management,Full-Stack,Merge phenotypic data from multiple ADHD-200 sites,ADHD-200 dataset,nilearn.datasets.fetch_adhd,Combine participant information from different scanning locations into one unified table,data_merge_tool; harmonization,merge_complete; site_encoded,merged_phenotypes.csv; site_mapping.json,,,,,
DATA-009,Data Management,Full-Stack,Generate data provenance tracking for SPM auditory pipeline,SPM auditory dataset,nilearn.datasets.fetch_spm_auditory,Create a record showing exactly what processing steps were applied and when,provenance_tool; workflow_tracker,provenance_graph; steps_documented,provenance.json; processing_dag.png,,,,,
DATA-010,Data Management,Full-Stack,Export Development fMRI derivatives to BIDS format,Development fMRI dataset,nilearn.datasets.fetch_development_fmri,Package processed results following BIDS standards so other researchers can use them,bids_export_tool; derivatives_manager,bids_derivatives_valid; readme_included,derivatives/; dataset_description.json,,,,,
DATA-011,Data Management,Full-Stack,Build searchable metadata index for NeuroVault collection,NeuroVault statistical maps,from nilearn.datasets import fetch_neurovault_ids,"Create a database of all brain maps with tags for task, contrast type, and statistical method",metadata_indexer; search_tool,index_created; search_functional,metadata_index.db; search_interface.html,,,,,
DATA-012,Data Management,Full-Stack,Archive and compress Haxby derivatives for long-term storage,Haxby dataset,nilearn.datasets.fetch_haxby,Package processed data with compression to save disk space while keeping it accessible,archive_tool; compression,archive_created; compression_ratio>0.5,haxby_derivatives.tar.gz; manifest.txt,,,,,
