Category,Task_ID,Status,Has_Placeholder_Msg,Has_Dummy_Data,Has_Sample_Evidence,Has_Viz_Placeholder,Has_Real_Data,Datasets_Used,Has_Real_Analysis,Analysis_Methods,Evidence_Required,File_Path
Clinical_Analysis,CLIN-001-Classify-ADHD-vs-controls-using,REAL,No,No,No,No,Yes,"atlas_msdl, adhd",Yes,.fit(; .predict(,roc_curve.png; confusion_matrix.png; feature_importance.csv,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Clinical_Analysis/CLIN-001-Classify-ADHD-vs-controls-using/run_analysis.sh
Clinical_Analysis,CLIN-002-Detect-autism-biomarkers-in-ABIDE,REAL,No,No,No,No,Yes,abide_pcp,Yes,.fit(; plot_stat_map; NiftiMasker,biomarker_weights.csv; brain_maps.nii.gz,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Clinical_Analysis/CLIN-002-Detect-autism-biomarkers-in-ABIDE/run_analysis.sh
Clinical_Analysis,CLIN-003-Predict-cognitive-decline-from-OASIS,REAL,No,No,No,No,Yes,oasis_vbm,No,None,predictions.csv; feature_importance.png,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Clinical_Analysis/CLIN-003-Predict-cognitive-decline-from-OASIS/run_analysis.sh
Clinical_Analysis,CLIN-004-Segment-and-quantify-lesions-in,PLACEHOLDER,No,Yes,No,No,No,None,No,None,lesion_masks.nii.gz; volume_measurements.csv,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Clinical_Analysis/CLIN-004-Segment-and-quantify-lesions-in/run_analysis.sh
Clinical_Analysis,CLIN-005-Calculate-brain-age-gap-from,REAL,No,No,No,No,Yes,oasis_vbm,No,None,predicted_ages.csv; age_gap_distribution.png,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Clinical_Analysis/CLIN-005-Calculate-brain-age-gap-from/run_analysis.sh
Clinical_Analysis,CLIN-006-Map-lesion-locations-to-behavioral,PLACEHOLDER,No,Yes,No,No,No,None,No,None,vlsm_map.nii.gz; deficit_correlations.csv,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Clinical_Analysis/CLIN-006-Map-lesion-locations-to-behavioral/run_analysis.sh
Clinical_Analysis,CLIN-007-Compute-cerebral-blood-flow-maps,PLACEHOLDER,No,Yes,No,No,No,None,No,None,cbf_map.nii.gz; mean_cbf_by_region.csv,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Clinical_Analysis/CLIN-007-Compute-cerebral-blood-flow-maps/run_analysis.sh
Clinical_Analysis,CLIN-008-Identify-individual-ADHD-subtype-from,REAL,No,No,No,No,Yes,adhd,No,None,subtype_classifier.pkl; connectivity_signatures.npy,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Clinical_Analysis/CLIN-008-Identify-individual-ADHD-subtype-from/run_analysis.sh
Clinical_Analysis,CLIN-009-Track-longitudinal-atrophy-in-repeated,PLACEHOLDER,No,Yes,No,No,No,None,No,None,atrophy_map.nii.gz; trajectory_plot.png,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Clinical_Analysis/CLIN-009-Track-longitudinal-atrophy-in-repeated/run_analysis.sh
Clinical_Analysis,CLIN-010-Perform-QSM-analysis-to-measure,PLACEHOLDER,No,Yes,No,No,No,None,No,None,qsm_map.nii.gz; iron_measurements.csv,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Clinical_Analysis/CLIN-010-Perform-QSM-analysis-to-measure/run_analysis.sh
Clinical_Analysis,CLIN-011-Compute-MRS-metabolite-concentrations-in,UNKNOWN,No,No,No,No,No,None,No,None,metabolite_concentrations.csv; spectrum_plot.png,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Clinical_Analysis/CLIN-011-Compute-MRS-metabolite-concentrations-in/run_analysis.sh
Clinical_Analysis,CLIN-012-Classify-mild-cognitive-impairment-vs,REAL,No,No,No,No,Yes,oasis_vbm,No,None,mci_classifier.pkl; roc_curves.png,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Clinical_Analysis/CLIN-012-Classify-mild-cognitive-impairment-vs/run_analysis.sh
Clinical_Analysis,CLIN-013-Generate-clinical-report-with-automated,UNKNOWN,No,No,No,No,No,None,No,None,clinical_report.pdf; volume_table.csv,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Clinical_Analysis/CLIN-013-Generate-clinical-report-with-automated/run_analysis.sh
Clinical_Analysis,CLIN-014-Identify-treatment-responders-from-baseline,PLACEHOLDER,No,Yes,No,No,No,None,No,None,responder_model.pkl; predictive_map.nii.gz,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Clinical_Analysis/CLIN-014-Identify-treatment-responders-from-baseline/run_analysis.sh
Clinical_Analysis,CLIN-015-Calculate-white-matter-hyperintensity-burden,PLACEHOLDER,No,Yes,No,No,No,None,No,None,wmh_mask.nii.gz; burden_by_region.csv,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Clinical_Analysis/CLIN-015-Calculate-white-matter-hyperintensity-burden/run_analysis.sh
Clinical_Analysis,CLIN-016-Perform-automated-epilepsy-focus-localization,PLACEHOLDER,No,Yes,No,No,No,None,No,None,focus_mask.nii.gz; localization_report.pdf,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Clinical_Analysis/CLIN-016-Perform-automated-epilepsy-focus-localization/run_analysis.sh
Clinical_Analysis,CLIN-017-Compute-brain-network-resilience-metrics,REAL,No,No,No,No,Yes,abide_pcp,No,None,resilience_metrics.csv; attack_simulation.png,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Clinical_Analysis/CLIN-017-Compute-brain-network-resilience-metrics/run_analysis.sh
